,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Severn Power Ltd,Natural Gas,CCGT,850,Z10,,1,1,1
Seabank Power Ltd,Natural Gas,CCGT,1234,Z12,,1,1,1
Saltend Power Station,Natural Gas,CCGT,1200,Z7,,1,1,1
Indian Queens Power Ltd,Oil,OCGT,140,Z12,,1,1,1
EP SHB LTD,Natural Gas,CCGT,1365,Z7,,1,1,1
EP Langage Ltd,Natural Gas,CCGT,905,Z12,,1,1,1
Corby Power Station,Natural Gas,CCGT,407,Z10,,1,1,1
Carrington Power,Natural Gas,CCGT,910,Z7,,1,1,1
Rocksavage Power Company Ltd,Natural Gas,CCGT,810,Z7,,1,1,1
Coryton Energy Company Ltd,Natural Gas,CCGT,800,Z10,,1,1,1
Spalding Energy Company Ltd,Natural Gas,CCGT,950,Z9,,1,1,1
Spalding Expansion OCGT,Natural Gas,CCGT,300,Z9,,1,1,1
Marchwood Power,Natural Gas,CCGT,898,Z12,,1,1,1
Fellside CHP,Natural Gas,CCGT,105,Z6,,1,1,1
Peterborough Power Station,Natural Gas,OCGT,245,Z10,,1,1,1
Croydon,Natural Gas,OCGT,50,Z10,,1,1,1
Derby,Natural Gas,OCGT,50,Z9,,1,1,1
Exeter,Natural Gas,OCGT,50,Z12,,1,1,1
Heartlands,Natural Gas,OCGT,100,Z9,,1,1,1
Peterborough Power Station PPL2 Gas Engines,Natural Gas,OCGT,49,Z10,,1,1,1
Thornhill,Natural Gas,OCGT,40,Z7,,1,1,1
Viking,Natural Gas,OCGT,50,Z6,,1,1,1
Little Barford,Natural Gas,CCGT,723,Z10,,1,1,1
Kings Lynn,Natural Gas,CCGT,395,Z10,,1,1,1
Didcot B,Natural Gas,CCGT,1450,Z10,,1,1,1
Cheshire,Natural Gas,OCGT,60,Z7,,1,1,1
Great Yarmouth,Natural Gas,CCGT,420,Z11,,1,1,1
Hythe,Natural Gas,OCGT,44,Z12,,1,1,1
Staythorpe,Natural Gas,CCGT,1828,Z9,,1,1,1
Pembroke,Natural Gas,CCGT,2199,Z10,,1,1,1
Grimsby,Natural Gas,OCGT,20,Z7,,1,1,1
Didcot GT,Oil,OCGT,100,Z10,,1,1,1
Cowes,Oil,OCGT,140,Z12,,1,1,1
Little Barford GT,Oil,OCGT,17,Z10,,1,1,1
Wilton International,Natural Gas,Conventional steam,120,Z6,0,0,0,1
Peterhead,Natural Gas,CCGT,1180,Z2,,1,1,1
Keadby,Natural Gas,CCGT,735,Z7,,1,1,1
Medway,Natural Gas,CCGT,755,Z10,,1,1,1
Burghfield,Natural Gas,OCGT,50,Z12,,1,1,1
Chickerell,Natural Gas,OCGT,50,Z12,,1,1,1
Keadby 2,Natural Gas,CCGT,840,Z7,,1,1,1
Bowmore,Oil,OCGT,6,Z3,,1,1,1
Kirkwall,Oil,OCGT,16,Z1,,1,1,1
Stornoway,Oil,OCGT,23,Z2,,1,1,1
Lerwick,Oil,OCGT,67,Z1,,1,1,1
Tiree,Oil,OCGT,2.5,Z3,,1,1,1
Loch Carnan,Oil,OCGT,11,Z2,,1,1,1
Barra,Oil,OCGT,2.5,Z2,,1,1,1
Arnish,Oil,OCGT,10,Z2,,1,1,1
West Burton CCGT,Natural Gas,CCGT,1332,Z9,,1,1,1
Ratcliffe (Steam),Coal,Conventional steam,2021,Z9,,1,1,1
Killingholme,Natural Gas,OCGT,600,Z7,,1,1,1
Connahs Quay,Natural Gas,CCGT,1380,Z7,,1,1,1
Cottam Development Centre,Natural Gas,CCGT,445,Z9,,1,1,1
Enfield,Natural Gas,CCGT,408,Z10,,1,1,1
Grain,Natural Gas,CCGT,1365,Z12,,1,1,1
Ratcliffe (OCGT),Oil,OCGT,34,Z9,,1,1,1
Taylors Lane,Oil,OCGT,144,Z10,,1,1,1
Grain (OCGT),Oil,OCGT,50,Z12,,1,1,1
Rye House,Natural Gas,CCGT,715,Z10,,1,1,1
Damhead Creek,Natural Gas,CCGT,805,Z10,,1,1,1
Shoreham,Natural Gas,CCGT,420,Z12,,1,1,1
Blackburn,Natural Gas,CCGT,60,Z6,,1,1,1
VPI,Natural Gas,CCGT,1268,Z7,,1,1,1
Hartlepool,Nuclear,AGR,1185,Z6,5,0.015,0.015,0.73
Heysham 1,Nuclear,AGR,1060,Z6,5,0.015,0.015,0.73
Heysham 2,Nuclear,AGR,1240,Z6,5,0.015,0.015,0.73
Hinkley Point B,Nuclear,AGR,965,Z12,5,0.015,0.015,0.73
Torness,Nuclear,AGR,1200,Z5,5,0.015,0.015,0.73
Sizewell B,Nuclear,PWR,1198,Z11,5,0.015,0.015,0.73
A C Shropshire (Farm AD),Anaerobic Digestion,Anaerobic Digestion,2.5,Z9,44,1,1,1
Abbots moor Farm Anaerobic Digester (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1,Z7,44,1,1,1
Allerton Waste Recovery Park (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.100000024,Z7,44,1,1,1
Arkleby Mill,Anaerobic Digestion,Anaerobic Digestion,1,Z6,44,1,1,1
Arla Dairy Site,Anaerobic Digestion,Anaerobic Digestion,5,Z10,44,1,1,1
Aspatria Creamery,Anaerobic Digestion,Anaerobic Digestion,5,Z6,44,1,1,1
Attleborough Ad Plant Limited - Anaerobic Digestion Facility Expansion,Anaerobic Digestion,Anaerobic Digestion,1,Z11,44,1,1,1
Austrey House Farm,Anaerobic Digestion,Anaerobic Digestion,1.5,Z9,44,1,1,1
Barkip Anaerobic Digestor (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2.200000048,Z5,44,1,1,1
Basingstoke Sewage Treatment Works,Anaerobic Digestion,Anaerobic Digestion,1.200000048,Z12,44,1,1,1
Bearley Lane,Anaerobic Digestion,Anaerobic Digestion,1.299999952,Z12,44,1,1,1
Bentwaters Park,Anaerobic Digestion,Anaerobic Digestion,2,Z11,44,1,1,1
Bentwaters Park (extension),Anaerobic Digestion,Anaerobic Digestion,1.799999952,Z11,44,1,1,1
Binn Farm AD (extension),Anaerobic Digestion,Anaerobic Digestion,1.5,Z3,44,1,1,1
Bolton Road Waste Treatment and Renewable Energy Facility (Waste AD),Anaerobic Digestion,Anaerobic Digestion,4,Z7,44,1,1,1
Bonby Lane,Anaerobic Digestion,Anaerobic Digestion,1.5,Z7,44,1,1,1
Bourne Park AD (AD),Anaerobic Digestion,Anaerobic Digestion,1.100000024,Z12,44,1,1,1
Bredbury Park Way - AD Stockport (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2,Z7,44,1,1,1
Bristol STW (Waste AD),Anaerobic Digestion,Anaerobic Digestion,10,Z10,44,1,1,1
British Sugar - Bury,Anaerobic Digestion,Anaerobic Digestion,5,Z11,44,1,1,1
Broadley Copse,Anaerobic Digestion,Anaerobic Digestion,2.200000048,Z12,44,1,1,1
Brocklesby - Crosslands Lane,Anaerobic Digestion,Anaerobic Digestion,3.5,Z7,44,1,1,1
Bromham House Farm,Anaerobic Digestion,Anaerobic Digestion,1.5,Z10,44,1,1,1
Brookfield Farm AD Plant (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.299999952,Z9,44,1,1,1
Brookhurst Wood (Waste AD),Anaerobic Digestion,Anaerobic Digestion,4.5,Z12,44,1,1,1
Broughall Fields Farm,Anaerobic Digestion,Anaerobic Digestion,2.400000095,Z7,44,1,1,1
Bryn Pica AD / Tomorrow's Valley (Waste AD) - resubmission,Anaerobic Digestion,Anaerobic Digestion,1,Z10,44,1,1,1
Buttermilk Farm,Anaerobic Digestion,Anaerobic Digestion,1.100000024,Z10,44,1,1,1
BV Dairy  (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.5,Z12,44,1,1,1
Bygrave Lodge Farm Anaerobic Digestion Facility (Farm AD),Anaerobic Digestion,Anaerobic Digestion,2.299999952,Z10,44,1,1,1
Cannington Cold Stores,Anaerobic Digestion,Anaerobic Digestion,3.299999952,Z12,44,1,1,1
Cardiff Organic Waste Treatment Project,Anaerobic Digestion,Anaerobic Digestion,2,Z10,44,1,1,1
Carousel Dairy AD Plant (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.5,Z12,44,1,1,1
Carr Farm (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1,Z6,44,1,1,1
Carrington Farm AD,Anaerobic Digestion,Anaerobic Digestion,3,Z9,44,1,1,1
Cassington AD (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2.099999905,Z10,44,1,1,1
Cattlegate Farm Biogas (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.5,Z10,44,1,1,1
Charlton Lane Eco Park (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.700000048,Z10,44,1,1,1
Codford Biogas (Waste AD),Anaerobic Digestion,Anaerobic Digestion,3.700000048,Z10,44,1,1,1
Coleshill STW (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2.400000095,Z9,44,1,1,1
Colwick Industrial Estate (Farm and Food waste),Anaerobic Digestion,Anaerobic Digestion,2,Z9,44,1,1,1
Coursers Farm AD Plant (Waste AD),Anaerobic Digestion,Anaerobic Digestion,3,Z10,44,1,1,1
Crowmarsh Battle Farm (Farm AD),Anaerobic Digestion,Anaerobic Digestion,2.299999952,Z10,44,1,1,1
Cumbernauld BioPlant  (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2.400000095,Z4,44,1,1,1
Dagenham Docks Biogas (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.399999976,Z10,44,1,1,1
Dean Group Business Park - Hartlepool,Anaerobic Digestion,Anaerobic Digestion,5.099999905,Z6,44,1,1,1
Decoy Farm (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.799999952,Z9,44,1,1,1
Deephams Sewerage Treatment Works,Anaerobic Digestion,Anaerobic Digestion,3,Z10,44,1,1,1
Deerdykes Composting and Organics Recycling Facility (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1,Z4,44,1,1,1
Dimmer Anaerobic Digestor (Waste AD),Anaerobic Digestion,Anaerobic Digestion,3,Z12,44,1,1,1
Dryholme Farm (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1,Z6,44,1,1,1
East Dagenham Docks AD (AD),Anaerobic Digestion,Anaerobic Digestion,1.399999976,Z10,44,1,1,1
Energen biogas Cumbernauld,Anaerobic Digestion,Anaerobic Digestion,2.400000095,Z4,44,1,1,1
Energy Works Hull - AD (Waste AD),Anaerobic Digestion,Anaerobic Digestion,3,Z7,44,1,1,1
Enfield Farm,Anaerobic Digestion,Anaerobic Digestion,2,Z12,44,1,1,1
Farington Waste Recovery Park (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.899999976,Z6,44,1,1,1
Fenmarc Fenland AD Plant (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.5,Z10,44,1,1,1
Fernbrook AD Plant (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.5,Z10,44,1,1,1
Gelliargwellt Uchaf Farm AD,Anaerobic Digestion,Anaerobic Digestion,1.399999976,Z10,44,1,1,1
Glasgow Renewable Energy and Recycling Centre (Waste AD),Anaerobic Digestion,Anaerobic Digestion,5,Z5,44,1,1,1
GlaxoSmithKline (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1,Z5,44,1,1,1
Glenfiddich Distillery,Anaerobic Digestion,Anaerobic Digestion,1.5,Z2,44,1,1,1
Gore Cross - AD,Anaerobic Digestion,Anaerobic Digestion,2.200000048,Z12,44,1,1,1
Granox Biogas Plant,Anaerobic Digestion,Anaerobic Digestion,5,Z7,44,1,1,1
Gravel Pit Farm,Anaerobic Digestion,Anaerobic Digestion,1,Z7,44,1,1,1
Great Hele Farm AD farm waste,Anaerobic Digestion,Anaerobic Digestion,1.299999952,Z12,44,1,1,1
Green Waste Composting Facility (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.200000048,Z12,44,1,1,1
Greenhill Anaerobic Digestion Plant,Anaerobic Digestion,Anaerobic Digestion,1,Z12,44,1,1,1
Green's Lodge Farm,Anaerobic Digestion,Anaerobic Digestion,2,Z9,44,1,1,1
Halstead Renewable Power Project (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2,Z10,44,1,1,1
Hogsbrook Farm - Farm AD,Anaerobic Digestion,Anaerobic Digestion,1,Z12,44,1,1,1
Imperial Park,Anaerobic Digestion,Anaerobic Digestion,5.099999905,Z6,44,1,1,1
Inchdairnie,Anaerobic Digestion,Anaerobic Digestion,2,Z4,44,1,1,1
Knostrop Sewage Treatment Works,Anaerobic Digestion,Anaerobic Digestion,4,Z7,44,1,1,1
Knostrop WWTW AD,Anaerobic Digestion,Anaerobic Digestion,2.400000095,Z7,44,1,1,1
Land Adjacent to Thomas Swan and Co Ltd.,Anaerobic Digestion,Anaerobic Digestion,1,Z6,44,1,1,1
Land at Grange Farm,Anaerobic Digestion,Anaerobic Digestion,1.100000024,Z7,44,1,1,1
Land at Lostock Works (Northwich Facility),Anaerobic Digestion,Anaerobic Digestion,5,Z7,44,1,1,1
Land South East Of Water Treatment Works Bridge End,Anaerobic Digestion,Anaerobic Digestion,1.5,Z6,44,1,1,1
Leeming Bar (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.5,Z6,44,1,1,1
Lochhead Landfill CHP,Anaerobic Digestion,Anaerobic Digestion,1.700000048,Z4,44,1,1,1
Lowbrook Farm Anaerobic Digester (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.299999952,Z12,44,1,1,1
Manor Farm (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.5,Z9,44,1,1,1
Marsh Farm  (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.399999976,Z9,44,1,1,1
May Farm Anaerobic Digester (Farm AD),Anaerobic Digestion,Anaerobic Digestion,2.400000095,Z10,44,1,1,1
McCain Foods AD Plant (AD),Anaerobic Digestion,Anaerobic Digestion,1,Z10,44,1,1,1
Mepal CHP,Anaerobic Digestion,Anaerobic Digestion,14.39999962,Z10,44,1,1,1
Merevale & Blyth Estate (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2,Z9,44,1,1,1
Metheringham Heath (Farm AD),Anaerobic Digestion,Anaerobic Digestion,6.5,Z9,44,1,1,1
Millerhill AD (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.5,Z5,44,1,1,1
Morayhill AD,Anaerobic Digestion,Anaerobic Digestion,2,Z2,44,1,1,1
North East Grains Site,Anaerobic Digestion,Anaerobic Digestion,0.5,Z6,44,1,1,1
North Moor Farm AD Plant (Farm AD),Anaerobic Digestion,Anaerobic Digestion,4,Z7,44,1,1,1
North Tamar Environ Project - Holsworthy  (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.399999976,Z12,44,1,1,1
Oak Grove Biomass Facility,Anaerobic Digestion,Anaerobic Digestion,2,Z11,44,1,1,1
Pebble Hall Farm - Food Waste AD,Anaerobic Digestion,Anaerobic Digestion,4,Z10,44,1,1,1
Pengelly Barton Farm,Anaerobic Digestion,Anaerobic Digestion,1,Z12,44,1,1,1
Plusterwine House - Anaerobic Digestion Plant (Retrospective),Anaerobic Digestion,Anaerobic Digestion,1.5,Z10,44,1,1,1
Poplars Anaerobic Digestion Facility (Waste AD),Anaerobic Digestion,Anaerobic Digestion,6,Z9,44,1,1,1
Preston Road AD Plant (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2.799999952,Z6,44,1,1,1
Prosper Demulder Limited Anaerobic Digestion Plant (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2,Z7,44,1,1,1
Prosper Demulder Limited Anaerobic Digestion Plant (Waste AD) - extension,Anaerobic Digestion,Anaerobic Digestion,3,Z7,44,1,1,1
Pure Malt Products AD,Anaerobic Digestion,Anaerobic Digestion,1.5,Z5,44,1,1,1
Ratty's Lane Sustainable Energy Facility (Waste AD),Anaerobic Digestion,Anaerobic Digestion,3,Z10,44,1,1,1
Reepham Road (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.5,Z11,44,1,1,1
Reliance Street Mechanical Biological Treatment Facility (MBT),Anaerobic Digestion,Anaerobic Digestion,2,Z7,44,1,1,1
Rye Meads Sewerage Treatment Works,Anaerobic Digestion,Anaerobic Digestion,2.299999952,Z10,44,1,1,1
Salford Refuse Treatment Plant (AD),Anaerobic Digestion,Anaerobic Digestion,2,Z7,44,1,1,1
Sandhill Anaerobic Digestion Plant (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2,Z7,44,1,1,1
Sefter Farm AD Plant (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1,Z12,44,1,1,1
Singleton Birch (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.5,Z7,44,1,1,1
South Kirkby Business Park (Waste AD),Anaerobic Digestion,Anaerobic Digestion,6,Z7,44,1,1,1
South Manchester Resource Recovery Centre (AD),Anaerobic Digestion,Anaerobic Digestion,2,Z7,44,1,1,1
Spring Farm (biomass),Anaerobic Digestion,Anaerobic Digestion,1,Z11,44,1,1,1
St Nicholas Court Farm (AD),Anaerobic Digestion,Anaerobic Digestion,1.200000048,Z12,44,1,1,1
Staples Anaerobic Digestion CHP Plant (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.399999976,Z9,44,1,1,1
Station Works AD,Anaerobic Digestion,Anaerobic Digestion,1,Z10,44,1,1,1
Stoke Bardolph energy crop (Farm AD),Anaerobic Digestion,Anaerobic Digestion,2,Z9,44,1,1,1
Stormy Down (Waste AD),Anaerobic Digestion,Anaerobic Digestion,3,Z10,44,1,1,1
"Stud Farm, Rufford (Farm AD)",Anaerobic Digestion,Anaerobic Digestion,2.200000048,Z9,44,1,1,1
Sutton Grange AD Plant,Anaerobic Digestion,Anaerobic Digestion,3,Z9,44,1,1,1
Swancote Farm,Anaerobic Digestion,Anaerobic Digestion,1.200000048,Z9,44,1,1,1
Swancote Farm AD (Farm AD),Anaerobic Digestion,Anaerobic Digestion,2.200000048,Z9,44,1,1,1
Swindon Sewerage Treatment Works,Anaerobic Digestion,Anaerobic Digestion,1.200000048,Z10,44,1,1,1
Symonds Farm Power Ltd (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1.399999976,Z11,44,1,1,1
Teesside Green Energy Plant (Waste AD),Anaerobic Digestion,Anaerobic Digestion,4.800000191,Z6,44,1,1,1
"The Nurseries, Green Tye",Anaerobic Digestion,Anaerobic Digestion,1.200000048,Z10,44,1,1,1
Thornton Waste Recovery Park (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.899999976,Z6,44,1,1,1
Toggam Farm - Anaerobic Digestion Plant,Anaerobic Digestion,Anaerobic Digestion,1,Z11,44,1,1,1
Trinity Hall Farm,Anaerobic Digestion,Anaerobic Digestion,1.100000024,Z10,44,1,1,1
Trumps Farm (AD),Anaerobic Digestion,Anaerobic Digestion,2.400000095,Z10,44,1,1,1
Waen Biogas (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1,Z7,44,1,1,1
Wallingford (Waste AD),Anaerobic Digestion,Anaerobic Digestion,2.400000095,Z10,44,1,1,1
Walpole Landfill AD (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.600000024,Z12,44,1,1,1
West Roucan Farm,Anaerobic Digestion,Anaerobic Digestion,1.200000048,Z5,44,1,1,1
Westcott Venture Park,Anaerobic Digestion,Anaerobic Digestion,2,Z10,44,1,1,1
Westwood AD Plant (Farm AD),Anaerobic Digestion,Anaerobic Digestion,2,Z10,44,1,1,1
Wigley Farm,Anaerobic Digestion,Anaerobic Digestion,1.100000024,Z9,44,1,1,1
Willand AD,Anaerobic Digestion,Anaerobic Digestion,2,Z12,44,1,1,1
Wingmoor Farm (Waste AD),Anaerobic Digestion,Anaerobic Digestion,1.600000024,Z10,44,1,1,1
Wothersome Grange Farm House AD - crops,Anaerobic Digestion,Anaerobic Digestion,1,Z7,44,1,1,1
Wyke Farms Biogas (Farm AD),Anaerobic Digestion,Anaerobic Digestion,1,Z10,44,1,1,1
Allerton Waste Recovery Park (EfW),EfW Incineration,EfW Incineration,27,Z7,0,1,1,0.36
Allington EFW,EfW Incineration,EfW Incineration,51,Z12,0,1,1,0.36
Ardley EfW,EfW Incineration,EfW Incineration,24,Z10,0,1,1,0.36
Ardwick Railway Goods Yard Incinerator (Newhaven EFW Plant),EfW Incineration,EfW Incineration,33.5,Z7,0,1,1,0.36
Avonmouth Resource Recovery Centre (formerly Severn Road),EfW Incineration,EfW Incineration,34,Z10,0,1,1,0.36
Baldovie,EfW Incineration,EfW Incineration,8.300000191,Z3,0,1,1,0.36
Battlefield EfW,EfW Incineration,EfW Incineration,8,Z9,0,1,1,0.36
Beddington EfW,EfW Incineration,EfW Incineration,26,Z10,0,1,1,0.36
Billingham Chemical Works,EfW Incineration,EfW Incineration,12,Z6,0,1,1,0.36
Bolton TRF,EfW Incineration,EfW Incineration,10.80000019,Z7,0,1,1,0.36
Chineham ERF,EfW Incineration,EfW Incineration,8,Z12,0,1,1,0.36
Cornwall ERC,EfW Incineration,EfW Incineration,20,Z12,0,1,1,0.36
Coventry,EfW Incineration,EfW Incineration,4.5,Z9,0,1,1,0.36
Cross Green ERF,EfW Incineration,EfW Incineration,11.60000038,Z7,0,1,1,0.36
Dudley EfW,EfW Incineration,EfW Incineration,7.400000095,Z9,0,1,1,0.36
Dunbar EfW (previously Oxwellmains EfW),EfW Incineration,EfW Incineration,25.60000038,Z5,0,1,1,0.36
Eastcroft EfW (Lines 1 & 2),EfW Incineration,EfW Incineration,9,Z9,0,1,1,0.36
Edmonton EcoPark EfW,EfW Incineration,EfW Incineration,55,Z10,0,1,1,0.36
EnviRecover,EfW Incineration,EfW Incineration,15.5,Z9,0,1,1,0.36
Exeter EfW,EfW Incineration,EfW Incineration,13,Z12,0,1,1,0.36
Fawley Waste to Energy Plant,EfW Incineration,EfW Incineration,8.600000381,Z12,0,1,1,0.36
Ferrybridge Multifuel 1 (FM1),EfW Incineration,EfW Incineration,68,Z7,0,1,1,0.36
Ferrybridge Multifuel 2 (FM2),EfW Incineration,EfW Incineration,70,Z7,0,1,1,0.36
"Fibrepower, Slough",EfW Incineration,EfW Incineration,50,Z10,0,1,1,0.36
Four Ashes EfW,EfW Incineration,EfW Incineration,23,Z9,0,1,1,0.36
Great Blakenham EfW,EfW Incineration,EfW Incineration,20,Z11,0,1,1,0.36
Greatmoor EfW,EfW Incineration,EfW Incineration,22,Z10,0,1,1,0.36
Haverton Hill Incinerator,EfW Incineration,EfW Incineration,20.10000038,Z6,0,1,1,0.36
Javelin Park EfW,EfW Incineration,EfW Incineration,14.5,Z10,0,1,1,0.36
K3 CHP Facility (Kemsley EfW),EfW Incineration,EfW Incineration,49.90000153,Z12,0,1,1,0.36
Lakeside EfW,EfW Incineration,EfW Incineration,30,Z10,0,1,1,0.36
Lincoln EFW,EfW Incineration,EfW Incineration,16.39999962,Z9,0,1,1,0.36
Marchwood ERF,EfW Incineration,EfW Incineration,16,Z12,0,1,1,0.36
Millerhill EfW,EfW Incineration,EfW Incineration,12.5,Z5,0,1,1,0.36
Ness Energy Project,EfW Incineration,EfW Incineration,11.10000038,Z2,0,1,1,0.36
Newhurst Quarry,EfW Incineration,EfW Incineration,42,Z9,0,1,1,0.36
Newlincs EfW,EfW Incineration,EfW Incineration,3.200000048,Z7,0,1,1,0.36
North East Energy Recovery Centre (adjacent to Teesside EfW),EfW Incineration,EfW Incineration,21,Z6,0,1,1,0.36
North Quay ERF,EfW Incineration,EfW Incineration,18.29999924,Z12,0,1,1,0.36
North Yard EfW,EfW Incineration,EfW Incineration,22.5,Z12,0,1,1,0.36
Parc Adfer EfW,EfW Incineration,EfW Incineration,16,Z7,0,1,1,0.36
Peterborough EfW,EfW Incineration,EfW Incineration,7.300000191,Z10,0,1,1,0.36
Portsmouth ERF,EfW Incineration,EfW Incineration,14,Z12,0,1,1,0.36
Riverside Resource Recovery Facility (RRRF),EfW Incineration,EfW Incineration,72,Z10,0,1,1,0.36
Rookery South,EfW Incineration,EfW Incineration,65,Z10,0,1,1,0.36
Runcorn EfW,EfW Incineration,EfW Incineration,100,Z7,0,1,1,0.36
SELCHP ERF,EfW Incineration,EfW Incineration,35,Z10,0,1,1,0.36
Severnside Energy Recovery Centre,EfW Incineration,EfW Incineration,32,Z10,0,1,1,0.36
Sheffield ERF,EfW Incineration,EfW Incineration,19.29999924,Z7,0,1,1,0.36
Stoke-on-Trent EfW,EfW Incineration,EfW Incineration,14.19999981,Z9,0,1,1,0.36
Teesside EfW,EfW Incineration,EfW Incineration,19.20000076,Z6,0,1,1,0.36
Teesside EfW (extension),EfW Incineration,EfW Incineration,10,Z6,0,1,1,0.36
Trackwork Limited (EfW),EfW Incineration,EfW Incineration,3,Z7,0,1,1,0.36
Trident Park,EfW Incineration,EfW Incineration,30,Z10,0,1,1,0.36
Twinwoods Heat & Power CHP,EfW Incineration,EfW Incineration,3.400000095,Z10,0,1,1,0.36
Tyseley ERF,EfW Incineration,EfW Incineration,30,Z9,0,1,1,0.36
Vine Street EfW,EfW Incineration,EfW Incineration,9.5,Z7,0,1,1,0.36
Wilton 11 EfW,EfW Incineration,EfW Incineration,49,Z6,0,1,1,0.36
Wolverhampton EfW,EfW Incineration,EfW Incineration,8,Z9,0,1,1,0.36
Albury Landfill,Landfill Gas,Landfill Gas,1.5,Z10,44,1,1,1
Arden Quarry Landfill,Landfill Gas,Landfill Gas,3.099999905,Z7,44,1,1,1
Ardley Fields Farm Landfill Site,Landfill Gas,Landfill Gas,1.799999952,Z10,44,1,1,1
Arlesey Landfill Gas (Extension),Landfill Gas,Landfill Gas,2.299999952,Z10,44,1,1,1
Arlesey Landfill Site,Landfill Gas,Landfill Gas,1.100000024,Z10,44,1,1,1
Arpley Landfill Scheme 'A',Landfill Gas,Landfill Gas,7.900000095,Z7,44,1,1,1
Arpley Landfill Scheme 'B',Landfill Gas,Landfill Gas,7.900000095,Z7,44,1,1,1
Attlebridge Landfill Site,Landfill Gas,Landfill Gas,1.299999952,Z11,44,1,1,1
Auchencarroch Landfill,Landfill Gas,Landfill Gas,2.099999905,Z4,44,1,1,1
Auchencarroch Landfill Extension,Landfill Gas,Landfill Gas,2,Z4,44,1,1,1
Auchinlea Landfill Site,Landfill Gas,Landfill Gas,2.299999952,Z4,44,1,1,1
Aveley,Landfill Gas,Landfill Gas,1.200000048,Z10,44,1,1,1
Aveley Landfill Scheme,Landfill Gas,Landfill Gas,2.099999905,Z10,44,1,1,1
Avondale,Landfill Gas,Landfill Gas,4,Z4,44,1,1,1
Barkip Landfill Site,Landfill Gas,Landfill Gas,1.200000048,Z5,44,1,1,1
Barling Hall Farm,Landfill Gas,Landfill Gas,2.400000095,Z10,44,1,1,1
Beacon Hill,Landfill Gas,Landfill Gas,3,Z12,44,1,1,1
Beddingham 'B' Landfill Scheme,Landfill Gas,Landfill Gas,7.5,Z12,44,1,1,1
Bellhouse Pit Landfill Scheme,Landfill Gas,Landfill Gas,2.700000048,Z10,44,1,1,1
Bellhouse South,Landfill Gas,Landfill Gas,3.900000095,Z10,44,1,1,1
Bennett Bank Landfill Site (lfg),Landfill Gas,Landfill Gas,2.200000048,Z6,44,1,1,1
Betton Abbots,Landfill Gas,Landfill Gas,1.299999952,Z9,44,1,1,1
Bidston Moss Landfill Scheme,Landfill Gas,Landfill Gas,2.299999952,Z7,44,1,1,1
Billinge Hill Quarry Landfill Scheme,Landfill Gas,Landfill Gas,1,Z7,44,1,1,1
Binn Landfill,Landfill Gas,Landfill Gas,1.899999976,Z3,44,1,1,1
Black Dog,Landfill Gas,Landfill Gas,2.200000048,Z2,44,1,1,1
Blackborough End Landfill Site,Landfill Gas,Landfill Gas,1.5,Z10,44,1,1,1
Bletchley Phase II,Landfill Gas,Landfill Gas,2.200000048,Z10,44,1,1,1
